

2011.11.28 ― 12.02	6963.80	7024.51	85464	79904	8289.90	8197.17	491.23	441.43	数据明细



2011.11.21 ― 11.25	6955.36	7016.61	87769	82449	8281.76	8189.51	420.57	412.70	数据明细
2011.11.14 ― 11.18	6946.70	7008.47	88783	83264	8273.39	8181.60	576.78	535.64	数据明细
2011.11.07 ― 11.11	6937.95	7000.25	86415	81880	8264.98	8173.66	553.68	509.18	数据明细
2011.10.31 ― 11.04	6929.46	6992.17	91734	88420	8256.87	8165.85	615.61	574.94	数据明细
2011.10.24 ― 10.28	6920.40	6983.42	93335	89611	8248.20	8157.41	537.39	472.99	数据明细
2011.10.17 ― 10.21	6911.22	6974.60	77307	74183	8239.41	8148.90	457.27	401.31	数据明细
2011.10.10 ― 10.14	6903.70	6967.38	69011	66718	8232.23	8141.95	459.67	399.30	数据明细
2011.09.26 ― 09.30	6896.97	6960.88	117643	109821	8225.87	8135.74	454.27	401.18	数据明细
2011.09.19 ― 09.23	6885.32	6950.00	107753	101122	8214.60	8125.16	480.93	427.81	数据明细
2011.09.13 ― 09.16	6874.67	6940.00	67578	64000	8204.34	8115.46	371.19	336.22	数据明细
2011.09.05 ― 09.09	6868.01	6933.68	81272	77307	8197.96	8109.37	463.84	407.22	数据明细
2011.08.29 ― 09.02	6860.00	6926.07	97569	93284	8190.30	8102.02	523.24	483.29	数据明细
2011.08.22 ― 08.26	6850.38	6916.86	108458	103940	8181.08	8093.12	562.13	495.91	数据明细
2011.08.15 ― 08.19	6839.66	6906.57	104684	100861	8170.78	8083.16	610.35	547.89	数据明细
2011.08.08 ― 08.12	6829.31	6896.59	104235	100312	8160.87	8073.52	737.46	612.71	数据明细
2011.08.01 ― 08.05	6819.03	6886.65	83652	81010	8151.07	8063.94	586.85	513.63	数据明细
2011.07.25 ― 07.29	6810.81	6878.67	107791	103054	8143.23	8056.26	695.88	576.08	数据明细
2011.07.18 ― 07.22	6800.19	6868.50	103505	100425	8133.05	8046.42	735.49	628.41	数据明细
2011.07.11 ― 07.15	6790.04	6858.64	92490	89892	8123.36	8036.90	759.53	677.09	数据明细
2011.07.04 ― 07.08	6781.00	6849.87	85395	83192	8114.76	8028.45	788.00	672.18	数据明细



2011.06.27 ― 07.01	6772.71	6774.37	143993	134672	8106.91	7953.28	690.89	566.85	数据明细
2011.06.20 ― 06.24	6758.65	6761.19	130065	119541	8093.37	7940.51	592.60	476.84	数据明细
2011.06.13 ― 06.17	6745.94	6749.52	105495	97944	8081.13	7929.21	578.74	453.32	数据明细
2011.06.07 ― 06.10	6735.69	6739.83	68599	64731	8071.13	7919.86	522.65	419.19	数据明细
2011.05.30 ― 06.03	6728.89	6733.41	100988	96395	8064.65	7913.70	568.27	460.19	数据明细
2011.05.23 ― 05.27	6718.85	6723.82	116078	110544	8055.09	7904.49	710.27	559.52	数据明细
2011.05.16 ― 05.20	6707.33	6712.84	103141	99761	8044.09	7893.91	679.11	551.75	数据明细
2011.05.09 ― 05.13	6697.14	6702.96	96489	94022	8034.39	7884.41	723.77	556.89	数据明细
2011.05.03 ― 05.06	6687.64	6693.69	71011	69816	8025.34	7875.49	664.85	486.43	数据明细
2011.04.25 ― 04.29	6680.64	6686.81	125727	123386	8018.73	7868.90	881.43	693.62	数据明细
2011.04.18 ― 04.22	6668.20	6674.59	131908	130434	8006.92	7857.16	1025.63	832.05	数据明细
2011.04.11 ― 04.15	6655.11	6661.63	127514	126369	7994.53	7844.75	1023.17	809.62	数据明细
2011.04.06 ― 04.08	6642.46	6649.07	70460	69779	7982.59	7832.75	741.42	562.01	数据明细
2011.03.28 ― 04.01	6635.48	6642.13	214596	205351	7976.00	7826.13	1072.72	837.38	数据明细
2011.03.21 ― 03.25	6614.10	6621.66	209408	198498	7955.41	7806.27	916.48	745.26	数据明细
2011.03.14 ― 03.18	6593.29	6601.90	200012	191063	7935.35	7787.11	1041.36	828.46	数据明细
2011.03.07 ― 03.11	6573.41	6582.85	202494	195755	7916.26	7768.70	1043.02	848.30	数据明细
2011.02.28 ― 03.04	6553.16	6563.24	178558	173826	7896.89	7749.79	996.21	786.20	数据明细
2011.02.21 ― 02.25	6535.31	6545.81	196959	192389	7879.87	7733.02	962.26	763.12	数据明细
2011.02.14 ― 02.18	6515.57	6526.50	168523	165608	7861.06	7714.45	965.27	770.14	数据明细



2011.02.09 ― 02.11	6498.65	6509.85	66152	65552	7845.05	7698.49	556.19	425.38	数据明细
2011.01.31 ― 02.04	6491.97	6503.25	32141	31867	7838.78	7692.20	370.01	265.45	数据明细
